accuracy,precision,recall,f1,roc_auc,n_features,dataset,experiment
0.845,0.5918367346938775,0.725,0.6516853932584269,0.88890625,1420.0,4chan,A_FULL
0.875,0.6666666666666666,0.75,0.7058823529411765,0.89375,1000.0,4chan,B_TFIDF_ONLY
0.66,0.27419354838709675,0.425,0.33333333333333326,0.645625,8.0,4chan,C_LEXICAL_ONLY
0.85,0.6,0.75,0.6666666666666665,0.82640625,3.0,4chan,D_HATE_LEXICON_ONLY
0.73,0.34782608695652173,0.4,0.37209302325581395,0.61125,10.0,4chan,E_SENTIMENT_ONLY
0.945,0.8372093023255814,0.9,0.8674698795180723,0.97140625,399.0,4chan,F_EMBEDDING_ONLY
0.845,0.5918367346938775,0.725,0.6516853932584269,0.8871875,420.0,4chan,G_NO_TFIDF
0.905,0.7333333333333333,0.825,0.776470588235294,0.9693750000000001,1412.0,4chan,H_NO_LEXICAL
0.81,0.5208333333333334,0.625,0.5681818181818181,0.848125,1417.0,4chan,I_NO_HATE_LEXICON
0.85,0.6,0.75,0.6666666666666665,0.8834375000000001,1410.0,4chan,J_NO_SENTIMENT
0.845,0.5918367346938775,0.725,0.6516853932584269,0.849375,1021.0,4chan,K_NO_EMBEDDING
