accuracy,precision,recall,f1,roc_auc,n_features,dataset,experiment
0.925,0.7551020408163265,0.925,0.8314606741573034,0.9603125,1420.0,twitter,A_FULL
0.945,0.9393939393939394,0.775,0.8493150684931509,0.9771875,1000.0,twitter,B_TFIDF_ONLY
0.59,0.28125,0.675,0.39705882352941174,0.66015625,8.0,twitter,C_LEXICAL_ONLY
0.89,0.6607142857142857,0.925,0.7708333333333333,0.9357031249999999,3.0,twitter,D_HATE_LEXICON_ONLY
0.675,0.3188405797101449,0.55,0.40366972477064217,0.6639062499999999,10.0,twitter,E_SENTIMENT_ONLY
0.95,0.8571428571428571,0.9,0.8780487804878048,0.9653124999999999,399.0,twitter,F_EMBEDDING_ONLY
0.925,0.7551020408163265,0.925,0.8314606741573034,0.9590625,420.0,twitter,G_NO_TFIDF
0.915,0.7555555555555555,0.85,0.7999999999999998,0.97984375,1412.0,twitter,H_NO_LEXICAL
0.82,0.532258064516129,0.825,0.6470588235294118,0.8690625,1417.0,twitter,I_NO_HATE_LEXICON
0.915,0.7254901960784313,0.925,0.8131868131868133,0.95578125,1410.0,twitter,J_NO_SENTIMENT
0.915,0.7346938775510204,0.9,0.8089887640449438,0.95828125,1021.0,twitter,K_NO_EMBEDDING
